.,Freq
¿ÀÈÄ,675
Oliver,446
Babe,443
Haley,411
¿ÀÀü,175
button,169
src,165
margin,163
auto,153
color,153
img,143
size,143
align,136
li,131
   ,126
12,125
grid,122
weet,120
border,116
function,113
nav,105
item,103
com,99
href,95
images,90
css,88
left,88
10,83
padding,83
type,79
family,78
codepen,77
script,77
if,74
title,74
VARCHAR260,72
11,71
link,71
none,71
resources,71
flex,70
btn,69
display,69
File,69
top,69
span,67
www,67
background,66
rel,65
content,64
100,63
50,63
bottom,62
io,62
individual,61
var,60
header,59
modal,59
pen,59
iframe,58
main,58
2020,57
alt,57
position,57
float,55
black,54
Math,54
id,53
stylesheet,53
transition,53
10px,52
msg,52
null,52
ul,52
1q80fmcropentropycstinysrgbw400fitmaxixideyJhcHBfaWQiOjE0NTg5fQ,51
all,51
ixlib,51
rb,51
stylewidth285px,51
unsplash,51
vo,51
decoration,50
data,49
do,49
eq,49
html,49
Phot,49
return,49
js,48
youtube,48
  ,45
5px,45
solid,45
TABLE,45
lilly,44
min,44
public,44
relative,44
20px,43
java,43
5,42
2px,42
body,42
30,41
bootstrap,41
plan,40
poemChars,40
value,40
container,38
import,38
random,38
video,38
block,37
radius,37
gauth,36
scroll,36
toggle,36
ADD,35
justify,35
styles,35
window,35
55,34
image,34
meta,34
1px,33
get,33
poem,33
UTF,33
01s,32
ALTER,32
disturb,32
stack,32
this,31
column,30
page,30
section,30
when,30
54,29
console,29
head,29
items,29
NUMBER,29
photo,29
round,29
14,28
52,28
56,28
box,28
let,28
log,28
transparent,28
wrap,28
315,27
58,27
Emoticon,27
hover,27
href0,27
String,27
51,26
59,26
25,25
bootstrapcdn,25
charset,25
the,25
15,24
16,24
440,24
ajax,24
ArrayList,24
fa,24
FROM,24
inline,24
jquery,24
pbar,24
pexels,24
SELECT,24
test,24
util,24
      ,23
13,23
57,22
absolute,22
columns,22
ctx,22
http,22
inner,22
name,22
right,22
tooltiptext,22
»çÁø,22
0px,21
37,21
in,21
logo,21
maxcdn,21
scale,21
VIDEOINF,21
webkit,21
255,20
CREATE,20
delayIntervalId,20
length,20
mav,20
private,20
rgba,20
set,20
signOut,20
stylemarginbottom50pxiframediv,20
stylewidth80px,20
void,20
zi,20
     ,19
action,19
article,19
icon,19
kyong,19
signout,19
to,19
your,19
3rem,18
50px,18
bold,18
checkLoginStatus,18
const,18
else,18
init,18
line,18
CUSTOMERINFO,17
customlist,17
direction,17
down,17
ease,17
face,17
ModelAndView,17
you,17
41,16
80px,16
active,16
callbackEnd,16
callbackStart,16
chars,16
comembed6Cp4UejhrM,16
COMMIT,16
then,16
TRUE,16
WeetVideoVO,16
       ,15
0,15
4,15
8,15
17,15
20,15
39,15
animate,15
br,15
choose,15
opacity,15
svg,15
¿Àºü,15
6,14
180px,14
24,14
35,14
47,14
awesome,14
char,14
child,14
fixed,14
int,14
jpeg,14
libs,14
mobile,14
onclick,14
org,14
siteNav,14
stick,14
stylemargintop10pxmarginbottom0px,14
youtubeWrap,14
15px,13
bezier,13
cubic,13
Menu,13
panel,13
rgb,13
rgba222,13
sessionCustom,13
transform,13
viewport,13
         ,12
29,12
4px,12
area,12
autorepeat,12
gap,12
Navigation,12
poet,12
processStack,12
requestScope,12
reversecounter,12
row,12
task,12
28,11
31,11
32,11
36,11
3px,11
aside,11
customvo,11
fff,11
fonts,11
h1,11
italic,11
Main,11
or,11
so,11
success,11
VIDEOINFO,11
¤»¤»¤»¤»¤»,11
200px,10
23,10
25px,10
26,10
445,10
49,10
53,10
95,10
autocompresscstinysrgbdpr2h650w940,10
byul,10
comembed5gaInOuEp74,10
contentType,10
count,10
cursive,10
CUSTOMERKINDOFLOGIN,10
dialog,10
doc,10
dropZone,10
googleapis,10
gunna,10
hw,10
index,10
language,10
make,10
moz,10
new,10
pageEncoding,10
siteWrapper,10
sizing,10
springframework,10
thumbsup,10
tooltip,10
videobestplace,10
videostar,10
weeT,10
±×·¡ÇÁ,10
¿µ»ó,10
¿Å°Üº¸¼¼¿äspan,10
ÆÄÀÏ,10
ÇÒ¼öÀÌµû,10
1,9
9,9
45px,9
60,9
70,9
addEventListener,9
aria,9
blue,9
CUSTOMERINFOSEQ,9
dao,9
end,9
failure,9
FALSE,9
files,9
google,9
jsp,9
Logi,9
logout,9
marginbottom50px,9
marginleft30px,9
margintop10px,9
nth,9
oliver,9
on,9
pointer,9
thumbsupvo,9
Us,9
VARCHAR,9
vertical,9
videokindofweather2,9
videonumberofbudget,9
videonumberofcourse,9
videounitofcurrency,9
yoo,9
3,8
12px,8
250,8
2980B9,8
34,8
450,8
46,8
460,8
500ms,8
669644,8
6em,8
88,8
940,8
anim,8
around,8
backdrop,8
baseSize,8
between,8
blur3px,8
canvas,8
CATEGORYINFO,8
charLen,8
clearIntervaltimer,8
clearlist,8
clearTimeout,8
comembedsVWueF7A0,8
coral,8
core,8
cursor,8
CUSTOMERINF,8
delay,8
delayInterval,8
desktop,8
far,8
grayscale,8
green,8
height45px,8
hrefchannelimg,8
innerHTML,8
into,8
jstl,8
label,8
loginBtn,8
Logout,8
marginleft100px,8
marginleft30pxiframe,8
marginleft30pximg,8
ORDERLISTINFO,8
placeholder,8
prefix,8
prepareText,8
progress,8
remDr,8
repeatDelaySec,8
requestAnimationFrame,8
rgbab31f73,8
rndSize,8
scrip,8
sec,8
SEQUENCE,8
show,8
Sign,8
signIn,8
starter,8
styleColor,8
styleFontSize,8
styleFontVariation,8
styleFontWeight,8
stylemargintop15pxmarginbottom5px,8
stylewidth95px,8
sun,8
taglib,8
thumbs,8
timer,8
translate0px5px,8
typeof,8
undefined,8
Up,8
upload,8
uri,8
urls,8
videokindofexplain,8
Wee,8
¿ù¿äÀÏ,8
Á¤º¸,8
È­¿äÀÏ,8
          ,7
33,7
5em,7
7em,7
braydoncoyer,7
buttonWrapper,7
BY,7
change,7
click,7
co,7
desktopnav,7
elem,7
empty,7
getVideogoodcount,7
hidden,7
hreflogin,7
hrefweetresourcesimagesfavicon16x16,7
insert,7
local,7
marginleft10px,7
marginright450px,7
margintop20px,7
media,7
method,7
my,7
naver,7
of,7
paddingleft30px,7
platform,7
profile,7
removeClass,7
RequestMapping,7
RequestMethod,7
searchinput,7
serachsection,7
sessionScope,7
SignU,7
sizes16x16,7
social,7
srcweetresourcesimagesweeTsignuplogo,7
WeetCustomerInfoVO,7
welcomesheet,7
Your,7
±İ¿äÀÏ,7
¸ñ¿äÀÏ,7
¼ö¿äÀÏ,7
½Ã°£,7
¾÷·Îµå,7
¿©Çà,7
¤Ğ¤Ğ,7
16px,6
20pxcolor333ispan,6
20pxcolorwhiteispan,6
222,6
275px,6
555,6
80,6
8px,6
90,6
900,6
9em,6
addClass,6
allow,6
allowfullscreen,6
annotation,6
autoplay,6
backgroundcoloreee,6
bars,6
base,6
border1px,6
clearfix,6
comphoto1544568100847a948585b9,6
control,6
cr,6
CUSTOMERID,6
CUSTOMERNAME,6
CUSTOMERPHONE,6
CUSTOMERPWD,6
description,6
drop,6
flow,6
frameborder,6
gapi,6
GET,6
group,6
h5,6
happy,6
im,6
INCREMENT,6
isELIgnored,6
jasoseol,6
loginModal,6
Logo,6
love,6
marginleft30pxiframediv,6
much,6
nameTxt,6
newText,6
no,6
picture,6
player,6
pre,6
preventDefault,6
println,6
ready,6
role,6
select,6
sessionCustom´Ônbsp,6
setInterval,6
Small,6
star,6
stylemarginright22pxAbout,6
stylemarginright22pxJourney,6
System,6
table,6
tag,6
thumbsdown,6
thumbsdownvo,6
today,6
VARCHAR220,6
videogoodcount,6
We,6
web,6
WeeT,6
WeetCategoryVO,6
WeetOrderlistVO,6
width100px,6
yoosngj,6
´Ù¾ç,6
·Î±×ÀÎ,6
ºñµğ¿À,6
À¯¿ë,6
Á¤·Ä,6
Á¦Ç°,6
ÄÁÅÙÃ÷¸¦,6
Åä¿äÀÏ,6
¤¾¤¾¤¾,6
6699,5
027s,5
120px,5
2000,5
22,5
25em,5
580,5
7px,5
addObject,5
afford,5
after,5
and,5
Are,5
autoplay1mute1,5
baby,5
ball,5
best,5
bind,5
can,5
cat,5
Caveat,5
comphoto15045954036599088ce801e29,5
comphoto1507146426996ef05306b995a,5
comphoto1510771463146e89e6e86560e,5
comphoto1517423440428a5a00ad493e8,5
comphoto151871775853685ae29035b6d,5
comphoto1530281700549e82e7bf110d6,5
comphoto15359308917760c2dfb7fda1a,5
comphoto154819997303cce0bbc87b,5
comphoto155205383171594a27632d,5
complete,5
CUSTOMERSEQID,5
Dis,5
FFF,5
finish,5
fren,5
friend,5
from,5
getVideobadcount,5
helping,5
house,5
hrefaboutInstagramali,5
hrefhome,5
hrefhomeAbout,5
hrefinstagram,5
hrefjourney,5
is,5
kr,5
marginbottom20px,5
marginbottom40px,5
margintop23px,5
margintop50px,5
Marker,5
max,5
mobilenav,5
mommy,5
mon,5
nugs,5
overflow,5
paddingleft20px,5
Permanent,5
ppt,5
protected,5
quickly,5
recruit,5
rose,5
sans,5
see,5
serif,5
setViewName,5
Share,5
shortcut,5
signinCheck,5
srcurledu210R,5
stylemarginleft180px,5
stylewidth200px,5
stylewidth50px,5
submit,5
successSignin,5
that,5
those,5
throw,5
travel,5
Treasure,5
using,5
values,5
VARCHAR2200,5
videoaddress,5
videobadcount,5
videocity,5
videocountry,5
videocustomerid,5
videodate,5
videodays,5
videoid,5
videokindofweather,5
videokindofwith,5
videoname,5
videoviewcount,5
watchPage,5
weetlogo,5
welcome,5
welcomephoto,5
You,5
µÎµå·¯±â,5
µî·Ï,5
¸éÁ¢,5
»ç¶÷,5
»ç¿ë,5
½Ç½À,5
¿ì¸®,5
¿ì¿õ,5
ÀÏ¹İ,5
Á¶½É,5
Á¶½ÉÈ÷¿Í,5
¤»¤»¤»,5
¤¾¤¾,5
ÇÏ³ª,5
ÇØ¼­,5
        ,4
           ,4
500300,4
98,4
0positionrelative,4
180,4
1s,4
21,4
2341282,4
255255255,4
27,4
2816904,4
3029352,4
3048516,4
3048524,4
3402955,4
3498DB,4
37px,4
65px,4
700,4
81px,4
82BF56,4
85,4
alter,4
animation,4
auth2,4
autoplay1loop1title0byline0portrait0,4
backgroundfff,4
bg,4
borderradius20px,4
buttons,4
CASL,4
CATEGORYNAME,4
cdnjs,4
clickSeoul,4
close,4
cloudflare,4
comembedufKxOlS3f50,4
cs,4
current,4
CUSTOMERADDR,4
CUSTOMERDATE,4
CUSTOMEREMAIL,4
customerid,4
customername,4
CUSTOMERNICKNAME,4
CUSTOMERRANK,4
DAT,4
dataTransfer,4
DATE,4
delimiter,4
desc,4
DESC,4
dev,4
edu,4
engineer,4
EUC,4
extreme,4
fas,4
fieldset,4
footer,4
forEach,4
github,4
Google,4
googleAuth,4
